code;bahnhof_haltestelle;bezugsjahr;kanton;eigner;dtv;dwv;dnwv;bemerkungen;remarques;note;remarks;geopos;lod
WIL;Wil;2018;SG;SBB;17800;20200;12400.0;Ohne FW.;Sans FW.;Senza FW.;Without FW.;47.4624092373, 9.04098327921;http://lod.opentransportdata.swiss/didok/8506206
WILN;Wilen bei Wollerau;2018;SZ;SOB;300;350;210.0;;;;;47.1975794035, 8.73431410161;http://lod.opentransportdata.swiss/didok/8503295
WOL;Wollerau;2018;SZ;SOB;570;650;380.0;;;;;47.1954349225, 8.7249971721;http://lod.opentransportdata.swiss/didok/8503288
WSEE;Winterthur Seen;2018;ZH;SBB;3000;3500;1700.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;47.4874349418, 8.76678904042;http://lod.opentransportdata.swiss/didok/8506002
WZ;Wetzikon;2018;ZH;SBB;24500;28700;15000.0;;;;;47.3180331432, 8.79226951209;http://lod.opentransportdata.swiss/didok/8503123
ZEN;Zürich Enge;2018;ZH;SBB;14900;18900;6100.0;;;;;47.3640983597, 8.53080595476;http://lod.opentransportdata.swiss/didok/8503010
ZEZ;Zernez;2018;GR;RhB;850;870;810.0;;;;;46.6976679974, 10.0899416034;http://lod.opentransportdata.swiss/didok/8509262
ZG;Zug;2018;ZG;SBB;39600;46500;24500.0;;;;;47.1736230527, 8.51529569481;http://lod.opentransportdata.swiss/didok/8502204
ZGCA;Zug Casino;2018;ZG;SBB;160;200;80.0;;;;;47.1623165875, 8.515186942;http://lod.opentransportdata.swiss/didok/8517527
ZGFR;Zug Fridbach;2018;ZG;SBB;270;320;150.0;;;;;47.1565775965, 8.51227569316;http://lod.opentransportdata.swiss/didok/8515994
ZGSE;Zug Schutzengel;2018;ZG;SBB;1300;1400;1000.0;;;;;47.1737252745, 8.50722421468;http://lod.opentransportdata.swiss/didok/8516187
ZIZ;Zizers;2018;GR;RhB;390;430;320.0;;;;;46.9348427166, 9.5595893726;http://lod.opentransportdata.swiss/didok/8509054
ZUOZ;Zuoz;2018;GR;RhB;580;610;500.0;;;;;46.5999530277, 9.96146378568;http://lod.opentransportdata.swiss/didok/8509258
ZWD;Zweidlen;2018;ZH;SBB;100;110;70.0;;;;;47.5704402649, 8.46789206212;http://lod.opentransportdata.swiss/didok/8503405
ZWOL;Zürich Wollishofen;2018;ZH;SBB;3400;3800;2600.0;;;;;47.3474399219, 8.53358828018;http://lod.opentransportdata.swiss/didok/8503009
ADF;Alpnach Dorf;2018;OW;ZB;1200;1400;770.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;46.9406471179, 8.27524412618;http://lod.opentransportdata.swiss/didok/8508316
ARN;Arnegg;2018;SG;SBB;190;210;130.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;47.4420020412, 9.25200601938;http://lod.opentransportdata.swiss/didok/8506211
AROS;Arosa;2018;GR;RhB;1500;1200;2100.0;;;;;46.7832957175, 9.67933313854;http://lod.opentransportdata.swiss/didok/8509157
AT;Altmatt;2018;SZ;SOB;50;50;50.0;;;;;47.1316489863, 8.69612483803;http://lod.opentransportdata.swiss/didok/8503292
AU;Au ZH;2018;ZH;SBB;1000;1200;690.0;;;;;47.2468165268, 8.6437080619;http://lod.opentransportdata.swiss/didok/8503205
BDR;Boudry;2018;NE;CFF;290;320;220.0;;;;;46.9594442223, 6.83504632593;http://lod.opentransportdata.swiss/didok/8504208
BELA;Bernina Lagalb;2018;GR;RhB;50;50;50.0;;;;;46.4366088742, 9.99194099052;http://lod.opentransportdata.swiss/didok/8509373
BEMG;Betten Talstation;2018;VS;MGB;800;700;1000.0;;;;;46.3711611306, 8.07652033771;http://lod.opentransportdata.swiss/didok/8501675
BEV;Bever;2018;GR;RhB;270;260;290.0;;;;;46.5499061769, 9.88847669658;http://lod.opentransportdata.swiss/didok/8509250
BEX;Bex;2018;VD;CFF;1800;2100;1200.0;Ohne TPC.;Sans TPC.;Senza TPC.;Without TPC.;46.2514595964, 7.00067755704;http://lod.opentransportdata.swiss/didok/8501402
BF;Belfaux CFF;2018;FR;CFF;410;520;160.0;;;;;46.8169170976, 7.10622789234;http://lod.opentransportdata.swiss/didok/8504139
BIBD;Biel/Bienne Bözingenfeld/Champ;2018;BE;SBB;450;610;100.0;;;;;47.1583882845, 7.29458712956;http://lod.opentransportdata.swiss/didok/8518771
BIGO;Biel (Goms);2018;VS;MGB;130;130;140.0;;;;;46.4550552939, 8.21942442827;http://lod.opentransportdata.swiss/didok/8501668
BIL;Bilten;2018;GL;SBB;80;110;50.0;Reduzierte Betriebszeiten S27;Horaires d’exploitation du S27 réduits;Orari d’esercizio ridotti della S 27.;Reduced operating times for S27;47.1521909901, 9.02990001736;http://lod.opentransportdata.swiss/didok/8503224
BLIZ;Blitzingen;2018;VS;MGB;120;110;130.0;;;;;46.4446643315, 8.2049725047;http://lod.opentransportdata.swiss/didok/8501669
BLU;Blumenau;2018;SG;SBB;410;500;210.0;;;;;47.2236693254, 8.84238332851;http://lod.opentransportdata.swiss/didok/8503113
BNG;Bussnang;2018;TG;THURBO;400;550;70.0;;;;;47.5560796135, 9.08414102198;http://lod.opentransportdata.swiss/didok/8506190
BO;Bodio;2018;TI;FFS;140;160;90.0;;;;;46.3802576814, 8.90655905474;http://lod.opentransportdata.swiss/didok/8505207
BOLE;Bôle;2018;NE;CFF;350;400;230.0;;;;;46.9689572835, 6.83768561375;http://lod.opentransportdata.swiss/didok/8504218
BONA;Bonaduz;2018;GR;RhB;890;1000;540.0;;;;;46.8102948855, 9.39776296886;http://lod.opentransportdata.swiss/didok/8509184
BOS;Boswil-Bünzen;2018;AG;SBB;760;870;500.0;;;;;47.305174603, 8.31527271204;http://lod.opentransportdata.swiss/didok/8502214
BOT;Bottighofen;2018;TG;SBB;250;280;180.0;;;;;47.6407078714, 9.21308178053;http://lod.opentransportdata.swiss/didok/8506127
BR;Brig;2018;VS;SBB;16700;17000;16100.0;;;;;46.3194210071, 7.98809158467;http://lod.opentransportdata.swiss/didok/8501609
BSD;Bassersdorf;2018;ZH;SBB;4700;5300;3200.0;;;;;47.4385636372, 8.62619947666;http://lod.opentransportdata.swiss/didok/8503307
BSDH;Basel Dreispitz;2018;BS;SBB;1900;2200;1200.0;;;;;47.5378619945, 7.60894180152;http://lod.opentransportdata.swiss/didok/8500136
BUET;Bütschwil;2018;SG;SBB;1200;1400;740.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;47.3595914091, 9.07513534617;http://lod.opentransportdata.swiss/didok/8506203
CASR;Castrisch;2018;GR;RhB;110;120;80.0;;;;;46.778493965, 9.23308077418;http://lod.opentransportdata.swiss/didok/8509170
CBY;Collombey;2018;VS;CFF;320;380;180.0;;;;;46.2711806973, 6.94875976335;http://lod.opentransportdata.swiss/didok/8501422
CG;Courgenay;2018;JU;CFF;550;620;390.0;;;;;47.4052177358, 7.12419139803;http://lod.opentransportdata.swiss/didok/8500125
CHAM;Cham;2018;ZG;SBB;5800;6800;3600.0;;;;;47.1782423661, 8.45748408001;http://lod.opentransportdata.swiss/didok/8502203
CHI;Chiasso;2018;TI;FFS;5200;6300;2700.0;Einsteigende in Richtung Ausland und Aussteigende aus dem Ausland sind nur zum Teil erfasst.;Les personnes montant et descendant des trains de et vers l’étranger ne sont que partiellement recensées.;Sono considerati solo in parte i passeggeri dall’estero che salgono e scendono dai treni.;Passengers boarding and alighting to/from abroad are only partially recorded.;45.8321788009, 9.03144057629;http://lod.opentransportdata.swiss/didok/8505307
CHN;Chambrelien;2018;NE;CFF;520;610;330.0;;;;;46.9671026797, 6.81225337255;http://lod.opentransportdata.swiss/didok/8504234
CHX;Chexbres-Village;2018;VD;CFF;380;410;320.0;;;;;46.4810524899, 6.77854229136;http://lod.opentransportdata.swiss/didok/8504013
CR;Croy-Romainmôtier;2018;VD;CFF;380;460;210.0;;;;;46.6967038907, 6.47811907461;http://lod.opentransportdata.swiss/didok/8501106
CRGD;Creux-de-Genthod;2018;GE;CFF;440;540;210.0;;;;;46.263759507, 6.16132058711;http://lod.opentransportdata.swiss/didok/8501012
CURT;Li Curt;2018;GR;RhB;50;50;50.0;;;;;46.3111861576, 10.0632122349;http://lod.opentransportdata.swiss/didok/8509363
DA;Dachsen;2018;ZH;SBB;820;910;630.0;;;;;47.6670843791, 8.61379705884;http://lod.opentransportdata.swiss/didok/8506049
DALT;Davos Laret;2018;GR;RhB;60;60;60.0;;;;;46.8480931286, 9.87191055095;http://lod.opentransportdata.swiss/didok/8509070
DG;Degersheim;2018;SG;SOB;1200;1400;800.0;;;;;47.3724767308, 9.20028142402;http://lod.opentransportdata.swiss/didok/8506292
DOM;Domdidier;2018;FR;CFF;390;460;230.0;;;;;46.8685046705, 7.01138032832;http://lod.opentransportdata.swiss/didok/8504125
DUE;Dübendorf;2018;ZH;SBB;7800;9300;4600.0;;;;;47.4000750283, 8.62340719058;http://lod.opentransportdata.swiss/didok/8503128
DUG;Duggingen;2018;BL;SBB;560;650;370.0;;;;;47.4534348999, 7.60344839068;http://lod.opentransportdata.swiss/didok/8500116
EGN;Egnach;2018;TG;SBB;280;300;240.0;;;;;47.5439914495, 9.38300007743;http://lod.opentransportdata.swiss/didok/8506309
EIS;Einsiedeln;2018;SZ;SOB;3400;3600;3000.0;;;;;47.1285821379, 8.74446828516;http://lod.opentransportdata.swiss/didok/8503283
ESP;Essert-Pittet;2018;VD;CFF;50;50;50.0;;;;;46.7276595753, 6.58065762221;http://lod.opentransportdata.swiss/didok/8501111
ETOY;Etoy;2018;VD;CFF;1300;1600;470.0;;;;;46.4751599503, 6.42713908598;http://lod.opentransportdata.swiss/didok/8501042
EW;Etzwilen;2018;TG;SBB;200;220;170.0;;;;;47.6611436806, 8.81859374588;http://lod.opentransportdata.swiss/didok/8506025
EWMA;Ewil Maxon;2018;OW;ZB;260;350;70.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;46.8607235978, 8.21867105657;http://lod.opentransportdata.swiss/didok/8508327
EZ;Eschenz;2018;TG;SBB;260;290;190.0;;;;;47.6454101495, 8.87653687685;http://lod.opentransportdata.swiss/didok/8506138
FF;Frauenfeld;2018;TG;SBB;10400;11800;7100.0;Ohne FW.;Sans FW.;Senza FW.;Without FW.;47.5581599749, 8.89653893491;http://lod.opentransportdata.swiss/didok/8506100
FIED;Fiesch Feriendorf;2018;VS;MGB;60;60;70.0;;;;;46.3973271822, 8.130774923;http://lod.opentransportdata.swiss/didok/8501729
FRI;Fribourg/Freiburg;2018;FR;CFF;20100;23000;13600.0;Ohne TPF.;Sans TPF.;Senza TPF.;Without TPF.;46.8032670642, 7.15102324519;http://lod.opentransportdata.swiss/didok/8504100
FT;Feuerthalen;2018;ZH;SBB;280;310;220.0;;;;;47.6921636376, 8.64595208918;http://lod.opentransportdata.swiss/didok/8503425
GA;Gampel-Steg;2018;VS;SBB;530;630;310.0;;;;;46.3065139347, 7.74757569359;http://lod.opentransportdata.swiss/didok/8501603
GD;Arth-Goldau;2018;SZ;SBB;14200;14400;13800.0;Ohne RB.;Sans RB.;Senza RB.;Without RB.;47.04915622, 8.54949116322;http://lod.opentransportdata.swiss/didok/8505004
GDA;Gordola;2018;TI;FFS;700;780;520.0;;;;;46.1790452957, 8.86576625228;http://lod.opentransportdata.swiss/didok/8505402
GEAP;Genève-Aéroport;2018;GE;CFF;15900;16300;15100.0;;;;;46.2325293452, 6.11198571992;http://lod.opentransportdata.swiss/didok/8501026
GER;Gerra (Gambarogno);2018;TI;FFS;50;50;50.0;;;;;46.1220435171, 8.784962426;http://lod.opentransportdata.swiss/didok/8505410
GIU;Giubiasco;2018;TI;FFS;6700;8100;3600.0;;;;;46.1738183582, 9.00358391238;http://lod.opentransportdata.swiss/didok/8505214
GRUS;Grüsch;2018;GR;RhB;680;760;490.0;;;;;46.9804929352, 9.64577921297;http://lod.opentransportdata.swiss/didok/8509059
GSS;Gossau SG;2018;SG;SBB;8200;9100;6300.0;Ohne AB.;Sans AB.;Senza AB.;Without AB.;47.4118296551, 9.25303263655;http://lod.opentransportdata.swiss/didok/8506210
GUA;Guarda;2018;GR;RhB;180;180;170.0;;;;;46.7715163582, 10.1505346597;http://lod.opentransportdata.swiss/didok/8509265
HGV;Les Hauts-Geneveys;2018;NE;CFF;950;1200;490.0;;;;;47.0471709782, 6.87466858452;http://lod.opentransportdata.swiss/didok/8504237
HO;Hochdorf;2018;LU;SBB;1700;2000;1100.0;;;;;47.1669743615, 8.28868696709;http://lod.opentransportdata.swiss/didok/8502024
HOBK;Holderbank AG;2018;AG;SBB;310;390;140.0;;;;;47.4286345989, 8.16659869889;http://lod.opentransportdata.swiss/didok/8502128
HUEW;Hüntwangen-Wil;2018;ZH;SBB;1500;1800;970.0;;;;;47.5812668467, 8.51282074899;http://lod.opentransportdata.swiss/didok/8503403
HW;Horw;2018;LU;ZB;2000;2400;1100.0;;;;;47.017477083, 8.30697000723;http://lod.opentransportdata.swiss/didok/8508319
IGIS;Igis;2018;GR;RhB;420;460;310.0;;;;;46.9498284013, 9.56475413085;http://lod.opentransportdata.swiss/didok/8509055
JAZ;Jenaz;2018;GR;RhB;170;190;120.0;;;;;46.9297493531, 9.71832169529;http://lod.opentransportdata.swiss/didok/8509062
KALP;Kalpetran;2018;VS;MGB;120;140;90.0;;;;;46.2140740163, 7.83697065824;http://lod.opentransportdata.swiss/didok/8501684
KBD;Koblenz Dorf;2018;AG;SBB;420;490;270.0;;;;;47.6093835703, 8.24013823513;http://lod.opentransportdata.swiss/didok/8503411
KK;Kölliken;2018;AG;SBB;690;810;440.0;;;;;47.3372920119, 8.0264455205;http://lod.opentransportdata.swiss/didok/8502101
KLO;Klosters;2018;GR;RhB;2400;2400;2300.0;;;;;46.8692118566, 9.8809363602;http://lod.opentransportdata.swiss/didok/8509068
LAVI;Lavin;2018;GR;RhB;220;210;250.0;;;;;46.7695694922, 10.1109675736;http://lod.opentransportdata.swiss/didok/8509264
LAWI;Langwies GR;2018;GR;RhB;160;120;250.0;;;;;46.8193280553, 9.70714341975;http://lod.opentransportdata.swiss/didok/8509155
LAX;Lax;2018;VS;MGB;210;220;200.0;;;;;46.3870101403, 8.11714943099;http://lod.opentransportdata.swiss/didok/8501673
LECH;Léchelles;2018;FR;CFF;230;290;90.0;;;;;46.8284488203, 7.01162043632;http://lod.opentransportdata.swiss/didok/8504137
LF;Läufelfingen;2018;BL;SBB;400;470;250.0;;;;;47.3921249769, 7.85621326784;http://lod.opentransportdata.swiss/didok/8500035
LFN;Laufen;2018;BL;SBB;5700;6600;3900.0;;;;;47.4193383263, 7.50263030739;http://lod.opentransportdata.swiss/didok/8500113
LG;Lugano;2018;TI;FFS;16300;18600;11100.0;Ohne FLP.;Sans FLP.;Senza FLP.;Without FLP.;46.0055057275, 8.94687441524;http://lod.opentransportdata.swiss/didok/8505300
LO;Locarno;2018;TI;FFS;6300;6600;5500.0;Ohne FART.;Sans FART.;Senza FART.;Without FART.;46.1724273965, 8.80135894865;http://lod.opentransportdata.swiss/didok/8505400
LOC;Le Locle;2018;NE;CFF;2300;2600;1400.0;"Ohne TRN; Ein- und Aussteigende von und aus dem Ausland sind nur zum Teil erfasst.";"Sans TRN; les personnes montant et descendant des trains de et vers l’étranger ne sont que partiellement recensées.";"Senza TRN; sono considerati solo in parte i passeggeri dall’estero che salgono e scendono dai treni.";"Without TRN; passengers boarding and alighting from abroad are only partially recorded.";47.0578541411, 6.74615360469;http://lod.opentransportdata.swiss/didok/8504316
LP;La Plaine;2018;GE;CFF;1300;1600;690.0;;;;;46.1786594705, 5.99999627842;http://lod.opentransportdata.swiss/didok/8501001
LST;Liestal;2018;BL;SBB;17500;20500;10800.0;Ohne WB.;Sans WB.;Senza WB.;Without WB.;47.4844551308, 7.73135468775;http://lod.opentransportdata.swiss/didok/8500023
LTH;Langenthal;2018;BE;SBB;11700;13500;7500.0;Ohne asm.;Sans ASM.;Senza ASM.;Without ASM.;47.2173003777, 7.78470885276;http://lod.opentransportdata.swiss/didok/8508100
LTY;Lutry;2018;VD;CFF;1200;1400;980.0;;;;;46.5037789699, 6.69061164399;http://lod.opentransportdata.swiss/didok/8501122
MAE;Märwil;2018;TG;THURBO;200;240;110.0;;;;;47.5331267043, 9.06921723299;http://lod.opentransportdata.swiss/didok/8506184
MAM;Mammern;2018;TG;SBB;250;260;220.0;;;;;47.6441576694, 8.91398444987;http://lod.opentransportdata.swiss/didok/8506137
MD;Moudon;2018;VD;CFF;1100;1400;670.0;;;;;46.6680516436, 6.80250491145;http://lod.opentransportdata.swiss/didok/8504120
MEGZ;Meggen Zentrum;2018;LU;SBB;370;390;320.0;;;;;47.0450427897, 8.37412430654;http://lod.opentransportdata.swiss/didok/8505018
MF;Maienfeld;2018;GR;SBB;820;930;590.0;;;;;47.0038340592, 9.52919552142;http://lod.opentransportdata.swiss/didok/8509003
MI;Muri AG;2018;AG;SBB;2400;2900;1500.0;;;;;47.2766601869, 8.3397982935;http://lod.opentransportdata.swiss/didok/8502215
MIES;Mies;2018;VD;CFF;590;740;260.0;;;;;46.2998757136, 6.1695702204;http://lod.opentransportdata.swiss/didok/8501014
MIRA;Miralago;2018;GR;RhB;60;60;60.0;;;;;46.2731186549, 10.0995611638;http://lod.opentransportdata.swiss/didok/8509365
MOG;Mogelsberg;2018;SG;SOB;320;340;250.0;;;;;47.3637431434, 9.14260584875;http://lod.opentransportdata.swiss/didok/8506293
MOR;Morges;2018;VD;CFF;17000;20300;9700.0;Ohne MBC.;Sans MBC.;Senza MBC.;Without MBC.;46.5110918027, 6.49396427184;http://lod.opentransportdata.swiss/didok/8501037
MOU;Moutier;2018;BE;CFF;3300;3800;2100.0;;;;;47.2806661619, 7.38103944266;http://lod.opentransportdata.swiss/didok/8500105
MRL;Moreillon;2018;VD;CFF;70;80;50.0;;;;;46.5083872786, 6.78564812794;http://lod.opentransportdata.swiss/didok/8504007
MTH;Monthey;2018;VS;CFF;1800;2300;820.0;;;;;46.2556458933, 6.9552285472;http://lod.opentransportdata.swiss/didok/8501421
MTR;Matran;2018;FR;CFF;150;180;100.0;;;;;46.7889298851, 7.09632979027;http://lod.opentransportdata.swiss/didok/8504029
MU;Muttenz;2018;BL;SBB;5300;6700;2300.0;;;;;47.5335803903, 7.64787914262;http://lod.opentransportdata.swiss/didok/8500020
MUET;Münster VS;2018;VS;MGB;370;400;300.0;;;;;46.4853623898, 8.266538327;http://lod.opentransportdata.swiss/didok/8501665
NH;Neuhausen;2018;ZH;SBB;1500;1700;1100.0;;;;;47.683134176, 8.62491498919;http://lod.opentransportdata.swiss/didok/8503423
NHRH;Neuhausen Rheinfall;2018;SH;SBB;730;730;730.0;;;;;47.6796483277, 8.61745857524;http://lod.opentransportdata.swiss/didok/8518924
NO;Nottwil;2018;LU;SBB;920;1000;650.0;;;;;47.1388047171, 8.13858805823;http://lod.opentransportdata.swiss/didok/8502008
NRRB;Niederrickenbach Station;2018;NW;ZB;90;80;100.0;;;;;46.9278346971, 8.39619411198;http://lod.opentransportdata.swiss/didok/8508384
NV;La Neuveville;2018;BE;CFF;1400;1600;780.0;;;;;47.0628240754, 7.09522000485;http://lod.opentransportdata.swiss/didok/8504226
NWD;Niederweningen Dorf;2018;ZH;SBB;920;1100;550.0;;;;;47.5059060903, 8.38104986019;http://lod.opentransportdata.swiss/didok/8503318
OI;Oberrüti;2018;AG;SBB;350;400;240.0;;;;;47.1659234421, 8.40476673935;http://lod.opentransportdata.swiss/didok/8502219
OL;Olten;2018;SO;SBB;74100;83000;54400.0;;;;;47.3519295325, 7.907688105;http://lod.opentransportdata.swiss/didok/8500218
ORD;Oberrieden;2018;ZH;SBB;1300;1400;1000.0;;;;;47.2796754088, 8.57844974795;http://lod.opentransportdata.swiss/didok/8503203
ORDD;Oberrieden Dorf;2018;ZH;SBB;1600;1800;950.0;;;;;47.2767239721, 8.57763334225;http://lod.opentransportdata.swiss/didok/8502209
PAL;Palézieux;2018;VD;CFF;4000;4600;2800.0;Ohne TPF.;Sans TPF.;Senza TPF.;Without TPF.;46.5427523751, 6.83787768542;http://lod.opentransportdata.swiss/didok/8504014
PF;Pfäffikon SZ;2018;SZ;SBB;15000;16900;10800.0;;;;;47.2029974467, 8.77811068503;http://lod.opentransportdata.swiss/didok/8503209
POR;Porrentruy;2018;JU;CFF;2600;3100;1400.0;Ohne CJ.;Sans CJ.;Senza CJ.;Without CJ.;47.420909698, 7.08007451034;http://lod.opentransportdata.swiss/didok/8500126
PRMA;Prilly-Malley;2018;VD;CFF;3100;3900;1500.0;;;;;46.5266893352, 6.60262941596;http://lod.opentransportdata.swiss/didok/8518452
QUA;Quartino;2018;TI;FFS;50;50;50.0;;;;;46.1513026375, 8.88731923749;http://lod.opentransportdata.swiss/didok/8505405
RBGD;Rothenburg Dorf;2018;LU;SBB;1400;1600;1100.0;;;;;47.0909062076, 8.27317678808;http://lod.opentransportdata.swiss/didok/8502012
RECK;Reckingen;2018;VS;MGB;310;330;270.0;;;;;46.4682257174, 8.24388275992;http://lod.opentransportdata.swiss/didok/8501666
REG;Regensdorf-Watt;2018;ZH;SBB;6900;8100;4200.0;;;;;47.4365626396, 8.47206501622;http://lod.opentransportdata.swiss/didok/8503526
RF;Rheinfelden;2018;AG;SBB;8600;9900;5900.0;;;;;47.5512096146, 7.79215393064;http://lod.opentransportdata.swiss/didok/8500301
RFAU;Rheinfelden Augarten;2018;AG;SBB;1000;1200;680.0;;;;;47.5458662882, 7.76802232018;http://lod.opentransportdata.swiss/didok/8500313
RIB;Rivera-Bironico;2018;TI;FFS;910;1000;630.0;;;;;46.1239793633, 8.92528147891;http://lod.opentransportdata.swiss/didok/8505216
RIV;Rivaz;2018;VD;CFF;210;200;240.0;;;;;46.4741966711, 6.78458954595;http://lod.opentransportdata.swiss/didok/8501126
RSST;Rorschach Stadt;2018;SG;SBB;2400;2800;1400.0;;;;;47.4754476463, 9.48971870021;http://lod.opentransportdata.swiss/didok/8506322
RUE;Rüti ZH;2018;ZH;SBB;10000;11400;6700.0;;;;;47.2604821005, 8.8540677825;http://lod.opentransportdata.swiss/didok/8503121
RZO;Ranzo-S. Abbondio;2018;TI;FFS;50;50;50.0;;;;;46.1169976034, 8.77653228958;http://lod.opentransportdata.swiss/didok/8505408
SA;Sargans;2018;SG;SBB;11300;12300;9100.0;;;;;47.0453635269, 9.44539562754;http://lod.opentransportdata.swiss/didok/8509411
SACH;Sachseln;2018;OW;ZB;900;980;740.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;46.8709602444, 8.23829844538;http://lod.opentransportdata.swiss/didok/8508313
SAF;Safenwil;2018;AG;SBB;670;800;370.0;;;;;47.32175296, 7.98350900936;http://lod.opentransportdata.swiss/didok/8502100
SAL;Salgesch;2018;VS;SBB;330;350;290.0;;;;;46.3094470378, 7.57900756181;http://lod.opentransportdata.swiss/didok/8501600
SAME;Samedan;2018;GR;RhB;2800;2900;2700.0;;;;;46.5337641741, 9.8736354163;http://lod.opentransportdata.swiss/didok/8509251
SCHK;Schottikon;2018;ZH;SBB;360;400;260.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;47.500115854, 8.8117058285;http://lod.opentransportdata.swiss/didok/8506035
SCHO;Schöfflisdorf-Oberweningen;2018;ZH;SBB;1300;1500;720.0;;;;;47.4979704691, 8.41179388261;http://lod.opentransportdata.swiss/didok/8503317
SCWE;Schwerzenbach ZH;2018;ZH;SBB;10000;12000;5600.0;;;;;47.3843802387, 8.6586595992;http://lod.opentransportdata.swiss/didok/8503127
SED;Sedrun;2018;GR;MGB;560;570;550.0;;;;;46.6810660346, 8.76977687553;http://lod.opentransportdata.swiss/didok/8505176
SEL;Selzach;2018;SO;SBB;820;990;450.0;;;;;47.2006188377, 7.45662984225;http://lod.opentransportdata.swiss/didok/8500204
SEV;Sevelen;2018;SG;SBB;260;310;150.0;;;;;47.1253714782, 9.49382469899;http://lod.opentransportdata.swiss/didok/8509406
SGF;St. Gallen St. Fiden;2018;SG;SBB;2600;3100;1500.0;;;;;47.434542034, 9.39342737505;http://lod.opentransportdata.swiss/didok/8506303
SGWI;St. Gallen Winkeln;2018;SG;SBB;1000;1200;660.0;;;;;47.4039256735, 9.30083970711;http://lod.opentransportdata.swiss/didok/8506300
SIG;Siggenthal-Würenlingen;2018;AG;SBB;1400;1700;640.0;;;;;47.5206885967, 8.24066005982;http://lod.opentransportdata.swiss/didok/8503502
SIR;Sirnach;2018;TG;SBB;830;940;590.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;47.4619919682, 9.00045935104;http://lod.opentransportdata.swiss/didok/8506010
SLG;Sulgen;2018;TG;SBB;1200;1400;690.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;47.5387993681, 9.18367857671;http://lod.opentransportdata.swiss/didok/8506217
SNK;St. Niklaus;2018;VS;MGB;720;790;590.0;;;;;46.1774799214, 7.80211502022;http://lod.opentransportdata.swiss/didok/8501685
STAN;Stans;2018;NW;ZB;5500;6200;4100.0;;;;;46.9583210245, 8.36674143144;http://lod.opentransportdata.swiss/didok/8508391
STE;Steinhausen;2018;ZG;SBB;970;1200;530.0;;;;;47.1945798603, 8.47842234624;http://lod.opentransportdata.swiss/didok/8502227
STER;St. Erhard-Knutwil;2018;LU;SBB;120;140;90.0;;;;;47.1800770071, 8.07456185019;http://lod.opentransportdata.swiss/didok/8502010
STG;Steg;2018;ZH;SBB;220;210;250.0;;;;;47.3538535176, 8.93235901657;http://lod.opentransportdata.swiss/didok/8503135
STR;Stein am Rhein;2018;SH;SBB;2000;2100;1800.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;47.656108874, 8.85500693112;http://lod.opentransportdata.swiss/didok/8506139
STRI;Steinhausen Rigiblick;2018;ZG;SBB;790;1100;200.0;;;;;47.1878937296, 8.47969110761;http://lod.opentransportdata.swiss/didok/8518459
SUHR;Suhr;2018;AG;SBB;1800;2100;1000.0;Ohne AVA.;Sans AVA.;Senza AVA.;Without AVA.;47.3716326855, 8.08227404767;http://lod.opentransportdata.swiss/didok/8502103
SUS;Susch;2018;GR;RhB;150;160;130.0;;;;;46.7520799199, 10.079326786;http://lod.opentransportdata.swiss/didok/8509263
