code;bahnhof_haltestelle;bezugsjahr;kanton;eigner;dtv;dwv;dnwv;bemerkungen;remarques;note;remarks;geopos;lod
ERLB;Erlenbach ZH;2018;ZH;SBB;3500;4200;2000.0;;;;;47.3057853122, 8.59150489466;http://lod.opentransportdata.swiss/didok/8503102
ESB;Eschenbach;2018;LU;SBB;750;850;530.0;;;;;47.1323911487, 8.32277893852;http://lod.opentransportdata.swiss/didok/8502022
EV;Evionnaz;2018;VS;CFF;300;380;120.0;;;;;46.1692425762, 7.02552647988;http://lod.opentransportdata.swiss/didok/8501404
EVOU;Les Evouettes;2018;VS;CFF;100;130;50.0;;;;;46.3628591884, 6.87946504066;http://lod.opentransportdata.swiss/didok/8501425
FG;Faoug;2018;VD;CFF;150;170;110.0;;;;;46.9082315978, 7.07459265792;http://lod.opentransportdata.swiss/didok/8504127
FMS;Flums;2018;SG;SBB;550;610;400.0;;;;;47.0966128468, 9.34791662857;http://lod.opentransportdata.swiss/didok/8509413
FRBS;Freienbach SOB;2018;SZ;SOB;370;440;220.0;;;;;47.2042033855, 8.75938335638;http://lod.opentransportdata.swiss/didok/8503289
FUER;Fürgangen-Bellwald;2018;VS;MGB;260;230;310.0;;;;;46.4119021944, 8.15231661725;http://lod.opentransportdata.swiss/didok/8501671
GDBE;Genthod-Bellevue;2018;GE;CFF;1100;1400;480.0;;;;;46.2567305087, 6.15396312897;http://lod.opentransportdata.swiss/didok/8501021
GELF;Gelfingen;2018;LU;SBB;310;330;260.0;;;;;47.2135545697, 8.26480670843;http://lod.opentransportdata.swiss/didok/8502026
GES;Geschinen;2018;VS;MGB;120;120;130.0;;;;;46.4916531224, 8.28210858989;http://lod.opentransportdata.swiss/didok/8501664
GESE;Genève-Sécheron;2018;GE;CFF;1200;1600;220.0;;;;;46.222435146, 6.14455938175;http://lod.opentransportdata.swiss/didok/8516283
GIB;Gibswil;2018;ZH;SBB;250;280;190.0;;;;;47.3137146634, 8.9154940778;http://lod.opentransportdata.swiss/didok/8503137
GRAF;Grafenort;2018;OW;ZB;80;70;100.0;;;;;46.8706013366, 8.37240400077;http://lod.opentransportdata.swiss/didok/8508396
GRO;Grolley;2018;FR;CFF;670;830;320.0;;;;;46.8319680926, 7.06605291011;http://lod.opentransportdata.swiss/didok/8504138
HAEW;Häggenschwil-Winden;2018;TG;SOB;250;270;190.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;47.5038584595, 9.35870895961;http://lod.opentransportdata.swiss/didok/8506395
HDK;Hendschiken;2018;AG;SBB;730;890;370.0;;;;;47.3894242237, 8.20737399629;http://lod.opentransportdata.swiss/didok/8502211
HE;Herisau;2018;AR;SOB;4800;5600;3100.0;Ohne AB.;Sans AB.;Senza AB.;Without AB.;47.3901678809, 9.27680356449;http://lod.opentransportdata.swiss/didok/8506290
HG;Horgen;2018;ZH;SBB;8000;9500;4800.0;;;;;47.2614824887, 8.59690458831;http://lod.opentransportdata.swiss/didok/8503204
HGW;Hergiswil;2018;NW;ZB;2700;3000;2000.0;;;;;46.9826127199, 8.31016575309;http://lod.opentransportdata.swiss/didok/8508318
IL;Illnau;2018;ZH;SBB;2100;2400;1300.0;;;;;47.4088192343, 8.72270382261;http://lod.opentransportdata.swiss/didok/8503303
JO;Jona;2018;SG;SBB;5200;6000;3200.0;;;;;47.230969801, 8.8345980429;http://lod.opentransportdata.swiss/didok/8503120
KLI;Klingnau;2018;AG;SBB;630;740;380.0;;;;;47.5820892736, 8.24881875083;http://lod.opentransportdata.swiss/didok/8516176
KLW;Killwangen-Spreitenbach;2018;AG;SBB;4100;4900;2200.0;;;;;47.433328238, 8.35419430986;http://lod.opentransportdata.swiss/didok/8503506
KMUE;Zug Chollermüli;2018;ZG;SBB;730;850;490.0;;;;;47.1804713352, 8.48576089261;http://lod.opentransportdata.swiss/didok/8502230
KPT;Kempraten;2018;SG;SBB;780;910;500.0;;;;;47.2383929337, 8.81429184846;http://lod.opentransportdata.swiss/didok/8503112
KR;Kreuzlingen;2018;TG;SBB;7400;8100;5600.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;47.6525540444, 9.16906514323;http://lod.opentransportdata.swiss/didok/8506131
KRH;Kreuzlingen Hafen;2018;TG;SBB;1600;2000;940.0;;;;;47.6491676497, 9.18196081638;http://lod.opentransportdata.swiss/didok/8506128
KRU;Krummenau;2018;SG;SOB;150;160;140.0;;;;;47.2488574907, 9.16794206645;http://lod.opentransportdata.swiss/didok/8506298
KUE;Küssnacht am Rigi;2018;SZ;SBB;2200;2400;1700.0;;;;;47.0835940036, 8.4334940573;http://lod.opentransportdata.swiss/didok/8505002
KUEB;Küblis;2018;GR;RhB;660;720;540.0;;;;;46.9142813961, 9.77183833332;http://lod.opentransportdata.swiss/didok/8509064
KUES;Küsnacht ZH;2018;ZH;SBB;5200;6200;3000.0;;;;;47.3191528026, 8.58061588761;http://lod.opentransportdata.swiss/didok/8503101
KWL;Kesswil;2018;TG;SBB;250;270;210.0;;;;;47.5954978156, 9.31740544782;http://lod.opentransportdata.swiss/didok/8506123
LAM;Lamone-Cadempino;2018;TI;FFS;2200;2900;730.0;;;;;46.0397205271, 8.93212223946;http://lod.opentransportdata.swiss/didok/8505219
LAN;Langwiesen;2018;ZH;SBB;210;230;190.0;;;;;47.6834480371, 8.66229616245;http://lod.opentransportdata.swiss/didok/8503426
LAPR;Lancy-Pont-Rouge;2018;GE;CFF;1100;1600;220.0;;;;;46.1888976308, 6.12533012554;http://lod.opentransportdata.swiss/didok/8516155
LAV;Lavorgo;2018;TI;FFS;90;100;70.0;;;;;46.4408978389, 8.83974336723;http://lod.opentransportdata.swiss/didok/8505205
LB;Lenzburg;2018;AG;SBB;23400;26800;15700.0;;;;;47.3911934191, 8.17037888645;http://lod.opentransportdata.swiss/didok/8502119
LD;Le Landeron;2018;NE;CFF;1000;1200;650.0;;;;;47.056626064, 7.06632947231;http://lod.opentransportdata.swiss/didok/8504225
LGB;Leuggelbach;2018;GL;SBB;50;50;50.0;Ohne Bahnbusse.;Sans bus de ligne.;Senza autobus della ferrovia.;Without rail buses.;46.9757415966, 9.04692465402;http://lod.opentransportdata.swiss/didok/8503235
LIG;Ligerz;2018;BE;SBB;480;480;460.0;;;;;47.0837604425, 7.13514479553;http://lod.opentransportdata.swiss/didok/8504227
LIN;Linthal;2018;GL;SBB;300;310;280.0;Ohne Bahnbusse.;Sans bus de ligne.;Senza autobus della ferrovia.;Without rail buses.;46.9255699583, 8.99777825107;http://lod.opentransportdata.swiss/didok/8503239
LQRI;Landquart Ried;2018;GR;RhB;230;270;150.0;;;;;46.9571982564, 9.56086663721;http://lod.opentransportdata.swiss/didok/8509056
LS;Lausanne;2018;VD;CFF;89200;102500;59800.0;Einsteigende in Richtung Ausland und Aussteigende aus dem Ausland sind nur zum Teil erfasst.;Les personnes montant et descendant des trains de et vers l’étranger ne sont que partiellement recensées.;Sono considerati solo in parte i passeggeri dall’estero che salgono e scendono dai treni.;Passengers boarding and alighting to/from abroad are only partially recorded.;46.5167786487, 6.62909314109;http://lod.opentransportdata.swiss/didok/8501120
LSG;Lichtensteig;2018;SG;SOB;840;930;620.0;;;;;47.3196954706, 9.08317218002;http://lod.opentransportdata.swiss/didok/8506201
LUET;Lütisburg;2018;SG;SBB;200;230;150.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;47.3838273619, 9.07067425759;http://lod.opentransportdata.swiss/didok/8506204
LZVH;Luzern Verkehrshaus;2018;LU;SBB;570;610;480.0;;;;;47.053927868, 8.33728023957;http://lod.opentransportdata.swiss/didok/8517336
MAER;Märstetten;2018;TG;SBB;;;;Angabe 2018 steht nicht zur Verfügung.;Chiffre non disponible pour l’année 2018.;Il dato del 2018 non è disponibile.;Value for 2018 not available.;47.5828184065, 9.0621817582;http://lod.opentransportdata.swiss/didok/8506104
